title,clip_score,blip2_vqa_score,blip2_itc_score,blip2_itm_score,unidet_score,aesthetics_score
mode1,20.767414247512818,-0.29898954908829184,0.19049620751291513,0.012666427653959283,0.4555301601095481,6.899990849018097
llama,20.408747131347656,-0.3356580275585875,0.17972774749994277,0.013075385591550201,0.348658376111511,7.214448796749115
gpt4,20.415058779716492,-0.2861116314842366,0.1839050082489848,0.018896246414660908,0.42435213817045,7.174560404777527
beautiful_prompt,20.230253334999084,-0.22542491501523182,0.16962554642558098,0.003140589564559923,0.26389994504970826,7.608639521121979
magic_prompt,20.779481992721557,-0.27971454444434496,0.17176556412130595,0.00657588302888459,0.37703870643072557,7.651712569713593
mode3 iter1,20.46940580844879,-0.3150491592218168,0.18659549342095852,0.012970787119930856,0.3953095745278047,6.863384855747223
mode3 iter2,20.47946196460724,-0.30746411938406526,0.18701052330434323,0.014633142460935597,0.38190134578870233,6.821428037643432
mode3 iter3,20.484014305114748,-0.28901249359361825,0.1845599511489272,0.014333887967167494,0.4046572047421647,6.888113176345825
